2025-10-28 03:25:30: Price=$4215.85, Position=No position, Balance=1001.97 USDC
2025-10-28 04:48:33: Price=$4140.90, Position=No position, Balance=1001.97 USDC
2025-10-28 04:48:40: Price=$114672.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:49:33: Price=$4140.90, Position=No position, Balance=1001.97 USDC
2025-10-28 04:49:41: Price=$114717.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:50:35: Price=$4140.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:50:41: Price=$114717.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:51:35: Price=$4140.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:51:41: Price=$114717.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:52:35: Price=$4140.45, Position=No position, Balance=1001.97 USDC
2025-10-28 04:52:43: Price=$114669.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:53:37: Price=$4134.75, Position=No position, Balance=1001.97 USDC
2025-10-28 04:53:43: Price=$114669.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:54:37: Price=$4134.75, Position=No position, Balance=1001.97 USDC
2025-10-28 04:54:43: Price=$114669.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:55:37: Price=$4134.75, Position=No position, Balance=1001.97 USDC
2025-10-28 04:55:45: Price=$114611.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:56:40: Price=$4131.55, Position=No position, Balance=1001.97 USDC
2025-10-28 04:56:45: Price=$114611.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:57:40: Price=$4131.55, Position=No position, Balance=1001.97 USDC
2025-10-28 04:57:45: Price=$114611.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:58:40: Price=$4131.55, Position=No position, Balance=1001.97 USDC
2025-10-28 04:58:49: Price=$114549.50, Position=No position, Balance=1001.97 USDC
2025-10-28 04:59:42: Price=$4132.95, Position=No position, Balance=1001.97 USDC
2025-10-28 04:59:49: Price=$114549.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:00:42: Price=$4132.95, Position=No position, Balance=1001.97 USDC
2025-10-28 05:00:49: Price=$114549.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:01:42: Price=$4132.95, Position=No position, Balance=1001.97 USDC
2025-10-28 05:01:51: Price=$114466.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:02:43: Price=$4128.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:02:51: Price=$114466.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:03:43: Price=$4128.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:03:51: Price=$114466.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:04:43: Price=$4128.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:04:54: Price=$114571.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:05:45: Price=$4133.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:05:54: Price=$114571.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:06:45: Price=$4133.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:06:54: Price=$114571.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:07:45: Price=$4133.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:07:56: Price=$114535.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:08:46: Price=$4136.45, Position=No position, Balance=1001.97 USDC
2025-10-28 05:08:56: Price=$114535.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:09:46: Price=$4136.45, Position=No position, Balance=1001.97 USDC
2025-10-28 05:09:56: Price=$114535.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:10:46: Price=$4136.45, Position=No position, Balance=1001.97 USDC
2025-10-28 05:10:57: Price=$114545.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:11:48: Price=$4136.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:11:57: Price=$114545.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:12:48: Price=$4136.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:12:57: Price=$114545.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:13:48: Price=$4136.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:14:26: Price=$114406.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:14:50: Price=$4127.45, Position=No position, Balance=1001.97 USDC
2025-10-28 05:15:26: Price=$114406.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:15:50: Price=$4127.45, Position=No position, Balance=1001.97 USDC
2025-10-28 05:16:26: Price=$114406.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:16:50: Price=$4127.45, Position=No position, Balance=1001.97 USDC
2025-10-28 05:17:28: Price=$114445.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:17:52: Price=$4131.35, Position=No position, Balance=1001.97 USDC
2025-10-28 05:18:28: Price=$114445.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:18:52: Price=$4131.35, Position=No position, Balance=1001.97 USDC
2025-10-28 05:19:28: Price=$114445.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:19:52: Price=$4131.35, Position=No position, Balance=1001.97 USDC
2025-10-28 05:20:30: Price=$114444.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:20:54: Price=$4130.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:21:30: Price=$114444.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:21:54: Price=$4130.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:22:30: Price=$114444.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:22:54: Price=$4130.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:23:31: Price=$114407.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:23:55: Price=$4107.25, Position=No position, Balance=1001.97 USDC
2025-10-28 05:24:31: Price=$114407.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:24:55: Price=$4107.25, Position=No position, Balance=1001.97 USDC
2025-10-28 05:25:31: Price=$114407.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:25:55: Price=$4107.25, Position=No position, Balance=1001.97 USDC
2025-10-28 05:26:33: Price=$114233.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:26:58: Price=$4110.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:27:33: Price=$114233.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:27:58: Price=$4110.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:28:33: Price=$114233.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:28:58: Price=$4110.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:29:35: Price=$114197.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:29:59: Price=$4108.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:30:35: Price=$114197.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:30:59: Price=$4108.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:31:35: Price=$114197.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:31:59: Price=$4108.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:32:36: Price=$114334.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:33:01: Price=$4120.05, Position=No position, Balance=1001.97 USDC
2025-10-28 05:33:36: Price=$114334.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:34:01: Price=$4120.05, Position=No position, Balance=1001.97 USDC
2025-10-28 05:34:36: Price=$114334.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:35:01: Price=$4120.05, Position=No position, Balance=1001.97 USDC
2025-10-28 05:35:38: Price=$114364.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:36:03: Price=$4124.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:36:38: Price=$114364.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:37:03: Price=$4124.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:37:38: Price=$114364.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:38:03: Price=$4124.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:38:39: Price=$114299.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:39:04: Price=$4122.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:39:39: Price=$114299.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:40:04: Price=$4122.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:40:39: Price=$114299.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:41:04: Price=$4122.65, Position=No position, Balance=1001.97 USDC
2025-10-28 05:41:41: Price=$114376.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:42:06: Price=$4122.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:42:41: Price=$114376.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:43:06: Price=$4122.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:43:41: Price=$114376.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:44:06: Price=$4122.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:44:42: Price=$114312.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:45:07: Price=$4122.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:45:42: Price=$114312.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:46:07: Price=$4122.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:46:42: Price=$114312.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:47:07: Price=$4122.85, Position=No position, Balance=1001.97 USDC
2025-10-28 05:47:44: Price=$114662.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:48:09: Price=$4135.25, Position=No position, Balance=1001.97 USDC
2025-10-28 05:48:44: Price=$114662.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:49:09: Price=$4135.25, Position=No position, Balance=1001.97 USDC
2025-10-28 05:49:44: Price=$114662.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:50:09: Price=$4135.25, Position=No position, Balance=1001.97 USDC
2025-10-28 05:50:45: Price=$114559.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:51:10: Price=$4130.95, Position=No position, Balance=1001.97 USDC
2025-10-28 05:51:45: Price=$114559.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:52:10: Price=$4130.95, Position=No position, Balance=1001.97 USDC
2025-10-28 05:52:45: Price=$114559.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:53:10: Price=$4130.95, Position=No position, Balance=1001.97 USDC
2025-10-28 05:53:47: Price=$114561.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:54:12: Price=$4129.05, Position=No position, Balance=1001.97 USDC
2025-10-28 05:54:47: Price=$114561.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:55:12: Price=$4129.05, Position=No position, Balance=1001.97 USDC
2025-10-28 05:55:47: Price=$114561.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:56:12: Price=$4129.05, Position=No position, Balance=1001.97 USDC
2025-10-28 05:56:48: Price=$114488.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:57:13: Price=$4125.35, Position=No position, Balance=1001.97 USDC
2025-10-28 05:57:48: Price=$114488.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:58:13: Price=$4125.35, Position=No position, Balance=1001.97 USDC
2025-10-28 05:58:48: Price=$114488.50, Position=No position, Balance=1001.97 USDC
2025-10-28 05:59:13: Price=$4125.35, Position=No position, Balance=1001.97 USDC
2025-10-28 05:59:50: Price=$114311.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:00:15: Price=$4115.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:00:50: Price=$114311.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:01:15: Price=$4115.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:01:50: Price=$114311.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:02:15: Price=$4115.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:02:51: Price=$114284.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:03:16: Price=$4123.65, Position=No position, Balance=1001.97 USDC
2025-10-28 06:03:51: Price=$114284.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:04:16: Price=$4123.65, Position=No position, Balance=1001.97 USDC
2025-10-28 06:04:52: Price=$114284.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:05:16: Price=$4123.65, Position=No position, Balance=1001.97 USDC
2025-10-28 06:05:53: Price=$114402.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:06:18: Price=$4128.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:06:53: Price=$114402.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:07:18: Price=$4128.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:07:53: Price=$114402.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:08:18: Price=$4128.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:08:55: Price=$114401.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:09:20: Price=$4129.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:09:55: Price=$114401.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:10:20: Price=$4129.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:10:55: Price=$114401.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:11:20: Price=$4129.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:11:56: Price=$114473.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:12:21: Price=$4130.25, Position=No position, Balance=1001.97 USDC
2025-10-28 06:12:56: Price=$114473.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:13:21: Price=$4130.25, Position=No position, Balance=1001.97 USDC
2025-10-28 06:13:56: Price=$114473.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:14:21: Price=$4130.25, Position=No position, Balance=1001.97 USDC
2025-10-28 06:14:58: Price=$114460.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:15:23: Price=$4128.25, Position=No position, Balance=1001.97 USDC
2025-10-28 06:15:58: Price=$114460.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:16:23: Price=$4128.25, Position=No position, Balance=1001.97 USDC
2025-10-28 06:16:58: Price=$114460.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:17:23: Price=$4128.25, Position=No position, Balance=1001.97 USDC
2025-10-28 06:17:59: Price=$114409.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:18:25: Price=$4133.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:18:59: Price=$114409.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:19:25: Price=$4133.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:19:59: Price=$114409.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:20:25: Price=$4133.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:21:01: Price=$114506.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:21:26: Price=$4134.85, Position=No position, Balance=1001.97 USDC
2025-10-28 06:22:01: Price=$114506.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:22:26: Price=$4134.85, Position=No position, Balance=1001.97 USDC
2025-10-28 06:23:01: Price=$114506.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:23:26: Price=$4134.85, Position=No position, Balance=1001.97 USDC
2025-10-28 06:24:02: Price=$114545.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:24:28: Price=$4141.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:25:02: Price=$114545.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:25:28: Price=$4141.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:26:02: Price=$114545.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:26:28: Price=$4141.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:27:04: Price=$114525.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:27:29: Price=$4139.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:28:04: Price=$114525.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:28:29: Price=$4139.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:29:04: Price=$114525.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:29:29: Price=$4139.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:30:05: Price=$114442.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:30:31: Price=$4136.65, Position=No position, Balance=1001.97 USDC
2025-10-28 06:31:05: Price=$114442.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:31:31: Price=$4136.65, Position=No position, Balance=1001.97 USDC
2025-10-28 06:32:05: Price=$114442.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:32:31: Price=$4136.65, Position=No position, Balance=1001.97 USDC
2025-10-28 06:33:07: Price=$114304.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:33:33: Price=$4129.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:34:07: Price=$114304.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:34:33: Price=$4129.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:35:07: Price=$114304.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:35:33: Price=$4129.75, Position=No position, Balance=1001.97 USDC
2025-10-28 06:36:09: Price=$114351.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:36:34: Price=$4130.45, Position=No position, Balance=1001.97 USDC
2025-10-28 06:37:09: Price=$114351.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:37:34: Price=$4130.45, Position=No position, Balance=1001.97 USDC
2025-10-28 06:38:09: Price=$114351.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:38:34: Price=$4130.45, Position=No position, Balance=1001.97 USDC
2025-10-28 06:39:10: Price=$114293.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:39:36: Price=$4126.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:40:10: Price=$114293.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:40:36: Price=$4126.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:41:10: Price=$114293.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:41:36: Price=$4126.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:42:12: Price=$114296.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:42:37: Price=$4124.85, Position=No position, Balance=1001.97 USDC
2025-10-28 06:43:12: Price=$114296.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:43:37: Price=$4124.85, Position=No position, Balance=1001.97 USDC
2025-10-28 06:44:12: Price=$114296.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:44:37: Price=$4124.85, Position=No position, Balance=1001.97 USDC
2025-10-28 06:45:13: Price=$114152.00, Position=No position, Balance=1001.97 USDC
2025-10-28 06:45:39: Price=$4120.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:46:13: Price=$114152.00, Position=No position, Balance=1001.97 USDC
2025-10-28 06:46:39: Price=$4120.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:47:13: Price=$114152.00, Position=No position, Balance=1001.97 USDC
2025-10-28 06:47:39: Price=$4120.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:48:15: Price=$114237.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:48:40: Price=$4127.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:49:15: Price=$114237.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:49:40: Price=$4127.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:50:15: Price=$114237.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:50:40: Price=$4127.95, Position=No position, Balance=1001.97 USDC
2025-10-28 06:51:16: Price=$114262.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:51:42: Price=$4129.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:52:16: Price=$114262.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:52:42: Price=$4129.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:53:16: Price=$114262.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:53:42: Price=$4129.55, Position=No position, Balance=1001.97 USDC
2025-10-28 06:54:18: Price=$114243.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:54:44: Price=$4128.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:55:18: Price=$114243.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:55:44: Price=$4128.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:56:18: Price=$114243.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:56:44: Price=$4128.15, Position=No position, Balance=1001.97 USDC
2025-10-28 06:57:19: Price=$114055.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:57:45: Price=$4120.45, Position=No position, Balance=1001.97 USDC
2025-10-28 06:58:19: Price=$114055.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:58:45: Price=$4120.45, Position=No position, Balance=1001.97 USDC
2025-10-28 06:59:19: Price=$114055.50, Position=No position, Balance=1001.97 USDC
2025-10-28 06:59:45: Price=$4120.45, Position=No position, Balance=1001.97 USDC
