2025-10-27 16:36:18: Price=$4178.15, Position=No position, Balance=1001.97 USDC
2025-10-27 17:06:47: Price=$4156.85, Position=No position, Balance=1001.97 USDC
2025-10-27 17:07:36: Price=$4160.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:07:49: Price=$4165.15, Position=No position, Balance=1001.97 USDC
2025-10-27 17:08:37: Price=$4162.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:08:51: Price=$4160.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:09:39: Price=$4159.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:09:52: Price=$4161.85, Position=No position, Balance=1001.97 USDC
2025-10-27 17:10:41: Price=$4166.75, Position=No position, Balance=1001.97 USDC
2025-10-27 17:10:54: Price=$4166.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:11:43: Price=$4158.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:11:56: Price=$4159.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:12:44: Price=$4160.85, Position=No position, Balance=1001.97 USDC
2025-10-27 17:12:57: Price=$4160.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:13:46: Price=$4167.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:13:58: Price=$4167.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:14:47: Price=$4166.85, Position=No position, Balance=1001.97 USDC
2025-10-27 17:15:00: Price=$4167.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:15:49: Price=$4165.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:16:02: Price=$4166.40, Position=No position, Balance=1001.97 USDC
2025-10-27 17:16:51: Price=$4161.15, Position=No position, Balance=1001.97 USDC
2025-10-27 17:17:03: Price=$4160.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:17:12: Price=$4159.30, Position=No position, Balance=1001.97 USDC
2025-10-27 17:17:53: Price=$4157.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:18:12: Price=$4159.30, Position=No position, Balance=1001.97 USDC
2025-10-27 17:18:55: Price=$4160.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:19:12: Price=$4159.30, Position=No position, Balance=1001.97 USDC
2025-10-27 17:19:57: Price=$4164.15, Position=No position, Balance=1001.97 USDC
2025-10-27 17:20:14: Price=$4166.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:20:59: Price=$4170.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:21:14: Price=$4166.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:22:02: Price=$4165.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:22:14: Price=$4166.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:23:05: Price=$4162.35, Position=No position, Balance=1001.97 USDC
2025-10-27 17:23:17: Price=$4165.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:24:08: Price=$4162.75, Position=No position, Balance=1001.97 USDC
2025-10-27 17:24:17: Price=$4165.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:25:09: Price=$4160.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:25:17: Price=$4165.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:26:11: Price=$4164.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:26:18: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:27:12: Price=$4160.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:27:18: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:28:15: Price=$4160.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:28:18: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:29:16: Price=$4162.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:29:20: Price=$4162.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:30:18: Price=$4160.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:30:20: Price=$4162.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:31:19: Price=$4163.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:31:20: Price=$4162.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:32:21: Price=$4162.35, Position=No position, Balance=1001.97 USDC
2025-10-27 17:32:22: Price=$4164.20, Position=No position, Balance=1001.97 USDC
2025-10-27 17:33:22: Price=$4164.20, Position=No position, Balance=1001.97 USDC
2025-10-27 17:33:22: Price=$4162.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:34:22: Price=$4164.20, Position=No position, Balance=1001.97 USDC
2025-10-27 17:34:24: Price=$4165.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:35:25: Price=$4165.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:35:25: Price=$4165.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:36:25: Price=$4165.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:36:27: Price=$4168.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:37:25: Price=$4165.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:37:28: Price=$4170.15, Position=No position, Balance=1001.97 USDC
2025-10-27 17:38:26: Price=$4171.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:38:30: Price=$4170.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:39:26: Price=$4171.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:39:31: Price=$4170.35, Position=No position, Balance=1001.97 USDC
2025-10-27 17:40:26: Price=$4171.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:40:33: Price=$4173.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:41:28: Price=$4170.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:41:34: Price=$4171.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:42:28: Price=$4170.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:42:36: Price=$4173.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:43:28: Price=$4170.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:43:38: Price=$4170.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:44:30: Price=$4171.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:44:39: Price=$4170.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:45:30: Price=$4171.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:45:41: Price=$4163.75, Position=No position, Balance=1001.97 USDC
2025-10-27 17:46:30: Price=$4171.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:46:42: Price=$4164.25, Position=No position, Balance=1001.97 USDC
2025-10-27 17:47:31: Price=$4164.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:47:44: Price=$4165.15, Position=No position, Balance=1001.97 USDC
2025-10-27 17:48:31: Price=$4164.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:48:45: Price=$4164.65, Position=No position, Balance=1001.97 USDC
2025-10-27 17:49:31: Price=$4164.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:49:47: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 17:50:33: Price=$4161.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:50:48: Price=$4162.95, Position=No position, Balance=1001.97 USDC
2025-10-27 17:51:33: Price=$4161.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:51:50: Price=$4165.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:52:33: Price=$4161.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:52:51: Price=$4161.55, Position=No position, Balance=1001.97 USDC
2025-10-27 17:53:34: Price=$4161.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:53:53: Price=$4161.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:54:34: Price=$4161.05, Position=No position, Balance=1001.97 USDC
2025-10-27 17:54:55: Price=$4160.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:16:28: Price=$4168.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:17:28: Price=$4168.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:18:28: Price=$4168.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:19:30: Price=$4172.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:20:30: Price=$4172.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:21:30: Price=$4172.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:22:32: Price=$4170.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:23:32: Price=$4170.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:24:32: Price=$4170.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:25:34: Price=$4169.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:26:34: Price=$4169.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:27:34: Price=$4169.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:28:36: Price=$4171.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:29:36: Price=$4171.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:30:36: Price=$4171.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:31:37: Price=$4171.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:32:37: Price=$4171.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:33:37: Price=$4171.85, Position=No position, Balance=1001.97 USDC
2025-10-27 18:34:40: Price=$4172.55, Position=No position, Balance=1001.97 USDC
2025-10-27 18:35:40: Price=$4172.55, Position=No position, Balance=1001.97 USDC
2025-10-27 18:36:40: Price=$4172.55, Position=No position, Balance=1001.97 USDC
2025-10-27 18:37:42: Price=$4170.35, Position=No position, Balance=1001.97 USDC
2025-10-27 18:38:42: Price=$4170.35, Position=No position, Balance=1001.97 USDC
2025-10-27 18:39:42: Price=$4170.35, Position=No position, Balance=1001.97 USDC
2025-10-27 18:40:44: Price=$4171.45, Position=No position, Balance=1001.97 USDC
2025-10-27 18:41:44: Price=$4171.45, Position=No position, Balance=1001.97 USDC
2025-10-27 18:42:44: Price=$4171.45, Position=No position, Balance=1001.97 USDC
2025-10-27 18:43:46: Price=$4170.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:44:46: Price=$4170.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:45:46: Price=$4170.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:46:47: Price=$4172.25, Position=No position, Balance=1001.97 USDC
2025-10-27 18:47:47: Price=$4172.25, Position=No position, Balance=1001.97 USDC
2025-10-27 18:48:47: Price=$4172.25, Position=No position, Balance=1001.97 USDC
2025-10-27 18:49:49: Price=$4171.25, Position=No position, Balance=1001.97 USDC
2025-10-27 18:50:49: Price=$4171.25, Position=No position, Balance=1001.97 USDC
2025-10-27 18:51:49: Price=$4171.25, Position=No position, Balance=1001.97 USDC
2025-10-27 18:52:50: Price=$4172.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:53:50: Price=$4172.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:54:50: Price=$4172.95, Position=No position, Balance=1001.97 USDC
2025-10-27 18:55:53: Price=$4167.45, Position=No position, Balance=1001.97 USDC
2025-10-27 18:56:53: Price=$4167.45, Position=No position, Balance=1001.97 USDC
2025-10-27 18:57:53: Price=$4167.45, Position=No position, Balance=1001.97 USDC
2025-10-27 18:58:54: Price=$4168.05, Position=No position, Balance=1001.97 USDC
2025-10-27 18:59:54: Price=$4168.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:00:54: Price=$4168.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:01:56: Price=$4170.25, Position=No position, Balance=1001.97 USDC
2025-10-27 19:02:56: Price=$4170.25, Position=No position, Balance=1001.97 USDC
2025-10-27 19:03:56: Price=$4170.25, Position=No position, Balance=1001.97 USDC
2025-10-27 19:04:57: Price=$4170.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:05:57: Price=$4170.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:06:57: Price=$4170.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:07:59: Price=$4169.45, Position=No position, Balance=1001.97 USDC
2025-10-27 19:08:59: Price=$4169.45, Position=No position, Balance=1001.97 USDC
2025-10-27 19:09:59: Price=$4169.45, Position=No position, Balance=1001.97 USDC
2025-10-27 19:11:01: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:12:01: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:13:01: Price=$4175.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:14:02: Price=$4174.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:15:02: Price=$4174.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:16:02: Price=$4174.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:17:04: Price=$4171.15, Position=No position, Balance=1001.97 USDC
2025-10-27 19:18:04: Price=$4171.15, Position=No position, Balance=1001.97 USDC
2025-10-27 19:19:04: Price=$4171.15, Position=No position, Balance=1001.97 USDC
2025-10-27 19:20:05: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 19:21:05: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 19:22:05: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 19:23:07: Price=$4147.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:24:07: Price=$4147.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:25:07: Price=$4147.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:26:09: Price=$4148.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:27:09: Price=$4148.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:28:09: Price=$4148.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:29:10: Price=$4151.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:30:10: Price=$4151.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:31:10: Price=$4151.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:32:12: Price=$4146.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:33:12: Price=$4146.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:34:12: Price=$4146.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:35:13: Price=$4152.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:36:13: Price=$4152.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:37:13: Price=$4152.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:38:15: Price=$4156.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:39:15: Price=$4156.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:40:15: Price=$4156.55, Position=No position, Balance=1001.97 USDC
2025-10-27 19:41:16: Price=$4163.15, Position=No position, Balance=1001.97 USDC
2025-10-27 19:42:16: Price=$4163.15, Position=No position, Balance=1001.97 USDC
2025-10-27 19:43:16: Price=$4163.15, Position=No position, Balance=1001.97 USDC
2025-10-27 19:44:18: Price=$4164.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:45:18: Price=$4164.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:46:18: Price=$4164.35, Position=No position, Balance=1001.97 USDC
2025-10-27 19:47:19: Price=$4160.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:48:19: Price=$4160.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:49:19: Price=$4160.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:50:21: Price=$4159.75, Position=No position, Balance=1001.97 USDC
2025-10-27 19:51:21: Price=$4159.75, Position=No position, Balance=1001.97 USDC
2025-10-27 19:52:21: Price=$4159.75, Position=No position, Balance=1001.97 USDC
2025-10-27 19:53:23: Price=$4158.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:54:23: Price=$4158.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:55:23: Price=$4158.05, Position=No position, Balance=1001.97 USDC
2025-10-27 19:56:24: Price=$4159.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:57:24: Price=$4159.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:58:24: Price=$4159.85, Position=No position, Balance=1001.97 USDC
2025-10-27 19:59:26: Price=$4161.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:00:26: Price=$4161.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:01:26: Price=$4161.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:02:27: Price=$4160.05, Position=No position, Balance=1001.97 USDC
2025-10-27 20:03:27: Price=$4160.05, Position=No position, Balance=1001.97 USDC
2025-10-27 20:04:27: Price=$4160.05, Position=No position, Balance=1001.97 USDC
2025-10-27 20:05:29: Price=$4161.95, Position=No position, Balance=1001.97 USDC
2025-10-27 20:06:29: Price=$4161.95, Position=No position, Balance=1001.97 USDC
2025-10-27 20:07:29: Price=$4161.95, Position=No position, Balance=1001.97 USDC
2025-10-27 20:08:31: Price=$4158.95, Position=No position, Balance=1001.97 USDC
2025-10-27 20:09:31: Price=$4158.95, Position=No position, Balance=1001.97 USDC
2025-10-27 20:10:31: Price=$4158.95, Position=No position, Balance=1001.97 USDC
2025-10-27 20:11:32: Price=$4159.85, Position=No position, Balance=1001.97 USDC
2025-10-27 20:12:32: Price=$4159.85, Position=No position, Balance=1001.97 USDC
2025-10-27 20:13:32: Price=$4159.85, Position=No position, Balance=1001.97 USDC
2025-10-27 20:14:34: Price=$4161.85, Position=No position, Balance=1001.97 USDC
2025-10-27 20:15:34: Price=$4161.85, Position=No position, Balance=1001.97 USDC
2025-10-27 20:16:34: Price=$4161.85, Position=No position, Balance=1001.97 USDC
2025-10-27 20:17:35: Price=$4157.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:18:35: Price=$4157.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:19:35: Price=$4157.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:20:37: Price=$4156.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:21:37: Price=$4156.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:22:37: Price=$4156.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:23:38: Price=$4158.45, Position=No position, Balance=1001.97 USDC
2025-10-27 20:24:38: Price=$4158.45, Position=No position, Balance=1001.97 USDC
2025-10-27 20:25:38: Price=$4158.45, Position=No position, Balance=1001.97 USDC
2025-10-27 20:26:41: Price=$4155.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:27:41: Price=$4155.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:28:41: Price=$4155.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:29:43: Price=$4155.25, Position=No position, Balance=1001.97 USDC
2025-10-27 20:30:43: Price=$4155.25, Position=No position, Balance=1001.97 USDC
2025-10-27 20:31:43: Price=$4155.25, Position=No position, Balance=1001.97 USDC
2025-10-27 20:32:45: Price=$4151.55, Position=No position, Balance=1001.97 USDC
2025-10-27 20:33:45: Price=$4151.55, Position=No position, Balance=1001.97 USDC
2025-10-27 20:34:45: Price=$4151.55, Position=No position, Balance=1001.97 USDC
2025-10-27 20:35:46: Price=$4145.15, Position=No position, Balance=1001.97 USDC
2025-10-27 20:36:46: Price=$4145.15, Position=No position, Balance=1001.97 USDC
2025-10-27 20:37:46: Price=$4145.15, Position=No position, Balance=1001.97 USDC
2025-10-27 20:38:48: Price=$4144.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:39:48: Price=$4144.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:40:48: Price=$4144.65, Position=No position, Balance=1001.97 USDC
2025-10-27 20:41:50: Price=$4141.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:42:50: Price=$4141.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:43:50: Price=$4141.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:44:52: Price=$4149.05, Position=No position, Balance=1001.97 USDC
2025-10-27 20:45:52: Price=$4149.05, Position=No position, Balance=1001.97 USDC
2025-10-27 20:46:52: Price=$4149.05, Position=No position, Balance=1001.97 USDC
2025-10-27 20:47:53: Price=$4150.35, Position=No position, Balance=1001.97 USDC
2025-10-27 20:48:53: Price=$4150.35, Position=No position, Balance=1001.97 USDC
2025-10-27 20:49:53: Price=$4150.35, Position=No position, Balance=1001.97 USDC
2025-10-27 20:50:55: Price=$4150.15, Position=No position, Balance=1001.97 USDC
2025-10-27 20:51:55: Price=$4150.15, Position=No position, Balance=1001.97 USDC
2025-10-27 20:52:55: Price=$4150.15, Position=No position, Balance=1001.97 USDC
2025-10-27 20:53:56: Price=$4146.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:54:56: Price=$4146.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:55:56: Price=$4146.75, Position=No position, Balance=1001.97 USDC
2025-10-27 20:56:58: Price=$4144.45, Position=No position, Balance=1001.97 USDC
2025-10-27 20:57:58: Price=$4144.45, Position=No position, Balance=1001.97 USDC
2025-10-27 20:58:58: Price=$4144.45, Position=No position, Balance=1001.97 USDC
2025-10-27 20:59:59: Price=$4146.85, Position=No position, Balance=1001.97 USDC
2025-10-27 21:00:59: Price=$4146.85, Position=No position, Balance=1001.97 USDC
2025-10-27 21:01:59: Price=$4146.85, Position=No position, Balance=1001.97 USDC
2025-10-27 21:03:01: Price=$4152.65, Position=No position, Balance=1001.97 USDC
2025-10-27 21:04:01: Price=$4152.65, Position=No position, Balance=1001.97 USDC
2025-10-27 21:05:01: Price=$4152.65, Position=No position, Balance=1001.97 USDC
2025-10-27 21:06:02: Price=$4160.45, Position=No position, Balance=1001.97 USDC
2025-10-27 21:07:02: Price=$4160.45, Position=No position, Balance=1001.97 USDC
2025-10-27 21:08:02: Price=$4160.45, Position=No position, Balance=1001.97 USDC
2025-10-27 21:09:04: Price=$4163.85, Position=No position, Balance=1001.97 USDC
2025-10-27 21:10:04: Price=$4163.85, Position=No position, Balance=1001.97 USDC
2025-10-27 21:11:04: Price=$4163.85, Position=No position, Balance=1001.97 USDC
2025-10-27 21:12:06: Price=$4162.55, Position=No position, Balance=1001.97 USDC
2025-10-27 21:13:06: Price=$4162.55, Position=No position, Balance=1001.97 USDC
2025-10-27 21:14:06: Price=$4162.55, Position=No position, Balance=1001.97 USDC
2025-10-27 21:15:07: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 21:16:07: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 21:17:07: Price=$4161.45, Position=No position, Balance=1001.97 USDC
2025-10-27 21:18:09: Price=$4169.65, Position=No position, Balance=1001.97 USDC
2025-10-27 21:19:09: Price=$4169.65, Position=No position, Balance=1001.97 USDC
2025-10-27 21:20:09: Price=$4169.65, Position=No position, Balance=1001.97 USDC
2025-10-27 21:21:11: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 21:22:11: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 21:23:12: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 21:24:14: Price=$4163.75, Position=No position, Balance=1001.97 USDC
2025-10-27 21:25:14: Price=$4163.75, Position=No position, Balance=1001.97 USDC
2025-10-27 21:26:14: Price=$4163.75, Position=No position, Balance=1001.97 USDC
2025-10-27 21:27:20: Price=$4165.05, Position=No position, Balance=1001.97 USDC
2025-10-27 21:28:20: Price=$4165.05, Position=No position, Balance=1001.97 USDC
