2025-10-29 11:24:58: Price=$112479.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:08:15: Price=$112575.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:09:15: Price=$112575.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:10:15: Price=$112575.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:11:16: Price=$112562.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:12:16: Price=$112562.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:13:16: Price=$112562.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:14:18: Price=$112615.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:15:18: Price=$112615.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:16:18: Price=$112615.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:17:20: Price=$112669.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:18:20: Price=$112669.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:19:20: Price=$112669.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:20:21: Price=$112685.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:21:21: Price=$112685.50, Position=No position, Balance=1001.97 USDC
2025-10-29 12:22:21: Price=$112685.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:14:24: Price=$112831.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:15:24: Price=$112831.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:16:24: Price=$112831.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:17:26: Price=$112979.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:18:26: Price=$112979.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:19:26: Price=$112979.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:20:27: Price=$113026.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:21:27: Price=$113026.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:22:27: Price=$113026.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:23:29: Price=$112993.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:24:29: Price=$112993.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:25:29: Price=$112993.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:26:31: Price=$113007.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:27:31: Price=$113007.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:28:31: Price=$113007.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:29:32: Price=$112968.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:30:32: Price=$112968.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:31:32: Price=$112968.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:32:34: Price=$112991.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:33:34: Price=$112991.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:34:34: Price=$112991.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:35:27: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:35:35: Price=$113126.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:36:27: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:36:35: Price=$113126.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:37:27: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:37:35: Price=$113126.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:38:28: Price=$113211.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:38:37: Price=$113215.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:39:28: Price=$113211.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:39:37: Price=$113215.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:40:37: Price=$113215.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:41:38: Price=$113339.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:42:38: Price=$113339.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:43:38: Price=$113339.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:44:40: Price=$113197.00, Position=No position, Balance=1001.97 USDC
2025-10-29 13:45:40: Price=$113197.00, Position=No position, Balance=1001.97 USDC
2025-10-29 13:46:05: Price=$113083.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:46:40: Price=$113197.00, Position=No position, Balance=1001.97 USDC
2025-10-29 13:47:05: Price=$113083.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:47:41: Price=$113046.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:48:05: Price=$113083.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:48:41: Price=$113046.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:49:06: Price=$113041.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:49:41: Price=$113046.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:50:06: Price=$113041.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:50:43: Price=$113052.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:51:43: Price=$113052.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:52:43: Price=$113052.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:53:44: Price=$113080.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:54:44: Price=$113080.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:55:44: Price=$113080.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:56:46: Price=$113030.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:57:46: Price=$113030.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:58:46: Price=$113030.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:59:28: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 13:59:47: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:00:28: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:00:47: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:01:28: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:01:47: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:02:29: Price=$112976.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:02:49: Price=$112974.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:03:29: Price=$112976.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:03:49: Price=$112974.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:04:29: Price=$112976.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:04:49: Price=$112974.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:05:31: Price=$113096.00, Position=No position, Balance=1001.97 USDC
2025-10-29 14:05:51: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:06:31: Price=$113096.00, Position=No position, Balance=1001.97 USDC
2025-10-29 14:07:05: Price=$113183.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:07:31: Price=$113096.00, Position=No position, Balance=1001.97 USDC
2025-10-29 14:08:05: Price=$113183.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:08:32: Price=$113169.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:09:05: Price=$113183.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:09:32: Price=$113169.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:10:07: Price=$113170.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:10:32: Price=$113169.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:11:07: Price=$113170.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:11:34: Price=$113121.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:12:34: Price=$113121.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:13:34: Price=$113121.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:14:35: Price=$113070.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:15:35: Price=$113070.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:16:35: Price=$113070.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:17:37: Price=$112996.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:18:37: Price=$112996.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:19:37: Price=$112996.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:20:39: Price=$113004.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:21:39: Price=$113004.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:22:39: Price=$113004.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:23:41: Price=$113018.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:24:41: Price=$113018.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:25:41: Price=$113018.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:26:42: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:27:42: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:28:17: Price=$112982.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:28:42: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:29:17: Price=$112982.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:29:44: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:30:17: Price=$112982.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:30:44: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:31:18: Price=$113076.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:31:44: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:32:18: Price=$113076.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:32:45: Price=$112980.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:33:18: Price=$113076.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:33:45: Price=$112980.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:34:20: Price=$112957.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:34:45: Price=$112980.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:35:20: Price=$112957.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:35:47: Price=$112995.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:36:31: Price=$112983.00, Position=No position, Balance=1001.97 USDC
2025-10-29 14:36:47: Price=$112995.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:37:47: Price=$112995.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:38:29: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:38:49: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:39:29: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:39:49: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:40:29: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:40:49: Price=$113022.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:41:30: Price=$113011.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:41:50: Price=$113037.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:42:30: Price=$113011.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:42:50: Price=$113037.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:43:30: Price=$113011.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:43:51: Price=$113037.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:44:32: Price=$113028.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:44:52: Price=$113023.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:45:32: Price=$113028.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:45:52: Price=$113023.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:46:32: Price=$113028.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:47:01: Price=$113081.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:47:34: Price=$113143.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:48:01: Price=$113081.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:48:34: Price=$113143.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:49:01: Price=$113081.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:49:34: Price=$113143.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:50:11: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:50:35: Price=$113140.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:51:11: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:51:35: Price=$113140.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:52:11: Price=$113109.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:52:35: Price=$113140.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:53:13: Price=$113231.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:53:37: Price=$113232.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:54:13: Price=$113231.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:54:37: Price=$113232.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:55:13: Price=$113231.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:55:37: Price=$113232.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:56:14: Price=$113326.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:56:38: Price=$113334.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:57:14: Price=$113326.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:57:38: Price=$113334.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:58:14: Price=$113326.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:58:38: Price=$113334.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:59:16: Price=$113303.50, Position=No position, Balance=1001.97 USDC
2025-10-29 14:59:40: Price=$113272.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:00:16: Price=$113303.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:00:40: Price=$113272.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:01:16: Price=$113303.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:01:40: Price=$113272.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:02:18: Price=$113260.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:02:42: Price=$113234.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:03:18: Price=$113260.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:03:42: Price=$113234.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:04:18: Price=$113260.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:04:42: Price=$113234.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:05:19: Price=$113245.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:05:43: Price=$113234.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:06:19: Price=$113245.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:06:43: Price=$113234.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:07:34: Price=$113259.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:07:43: Price=$113234.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:08:34: Price=$113259.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:08:45: Price=$113292.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:09:34: Price=$113259.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:09:45: Price=$113292.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:10:36: Price=$113228.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:10:45: Price=$113292.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:10:55: Price=$113246.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:11:36: Price=$113228.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:11:47: Price=$113255.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:12:03: Price=$113256.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:12:36: Price=$113228.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:12:47: Price=$113255.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:13:37: Price=$113242.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:13:47: Price=$113255.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:14:37: Price=$113242.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:14:48: Price=$113247.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:15:37: Price=$113242.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:15:48: Price=$113247.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:42:23: Price=$113277.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:43:23: Price=$113277.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:44:23: Price=$113277.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:45:25: Price=$113256.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:46:25: Price=$113256.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:47:25: Price=$113256.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:48:27: Price=$113367.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:49:27: Price=$113367.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:50:27: Price=$113367.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:51:28: Price=$113359.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:52:28: Price=$113359.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:53:28: Price=$113359.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:54:29: Price=$113417.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:55:29: Price=$113417.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:56:29: Price=$113417.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:57:31: Price=$113537.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:58:31: Price=$113537.50, Position=No position, Balance=1001.97 USDC
2025-10-29 15:59:31: Price=$113537.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:00:33: Price=$113559.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:01:31: Price=$113558.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:01:33: Price=$113559.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:02:31: Price=$113558.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:02:33: Price=$113559.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:03:31: Price=$113558.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:03:34: Price=$113575.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:04:32: Price=$113499.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:04:34: Price=$113575.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:05:32: Price=$113499.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:05:34: Price=$113575.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:06:32: Price=$113499.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:06:36: Price=$113494.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:07:34: Price=$113482.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:07:36: Price=$113494.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:08:34: Price=$113482.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:08:36: Price=$113494.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:09:34: Price=$113482.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:09:37: Price=$113429.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:10:36: Price=$113430.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:10:37: Price=$113429.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:11:36: Price=$113430.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:11:37: Price=$113429.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:12:36: Price=$113430.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:12:39: Price=$113400.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:13:37: Price=$113409.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:13:39: Price=$113400.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:14:37: Price=$113409.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:14:39: Price=$113400.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:15:37: Price=$113409.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:15:40: Price=$113334.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:16:39: Price=$113370.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:16:40: Price=$113334.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:17:39: Price=$113370.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:17:40: Price=$113334.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:18:39: Price=$113370.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:18:42: Price=$113382.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:19:40: Price=$113384.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:19:42: Price=$113382.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:20:40: Price=$113384.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:20:42: Price=$113382.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:21:37: Price=$113358.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:21:44: Price=$113329.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:22:37: Price=$113358.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:22:44: Price=$113329.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:23:37: Price=$113358.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:23:44: Price=$113329.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:24:39: Price=$113352.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:24:45: Price=$113352.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:25:39: Price=$113352.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:25:45: Price=$113352.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:26:39: Price=$113352.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:26:45: Price=$113352.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:27:40: Price=$113291.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:27:47: Price=$113291.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:28:40: Price=$113291.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:28:47: Price=$113291.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:29:40: Price=$113291.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:29:47: Price=$113291.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:30:42: Price=$113309.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:30:52: Price=$113296.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:31:42: Price=$113309.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:31:52: Price=$113296.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:32:42: Price=$113309.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:32:52: Price=$113296.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:33:43: Price=$113219.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:33:56: Price=$113229.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:34:43: Price=$113219.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:34:56: Price=$113229.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:35:43: Price=$113219.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:35:56: Price=$113229.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:36:45: Price=$113133.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:37:00: Price=$113133.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:37:45: Price=$113133.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:38:00: Price=$113133.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:38:45: Price=$113133.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:39:00: Price=$113133.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:39:47: Price=$113015.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:40:06: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:40:47: Price=$113015.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:41:06: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:41:47: Price=$113015.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:42:06: Price=$113047.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:42:48: Price=$113097.50, Position=No position, Balance=1001.97 USDC
2025-10-29 16:43:08: Price=$113117.50, Position=No position, Balance=1001.97 USDC
